feature	partner	sample_name	feature_match	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
ESRP1	PKHD1L1	ACH-000871	3	1	1	1	0	Preclinical	0	0	0	1	0	1
RUNX1	RCAN1	ACH-000395	3	1	1	1	0	Preclinical	1	0	1	1	1	1
RUNX1	CFAP298	ACH-000181	3	1	1	1	0	Preclinical	1	0	1	1	1	1
FLI1	EWSR1	ACH-000052	3	1	0	0	0	Guideline	0	0	1	1	0	1
COL1A1	COL1A2	ACH-000244	3	1	1	1	0	Guideline	0	0	1	1	0	1
FLI1	EWSR1	ACH-000391	3	1	0	0	0	Guideline	0	0	1	1	0	1
EWSR1	SMCO4	ACH-000087	3	1	1	1	0	Guideline	0	0	1	1	0	1
FLI1	EWSR1	ACH-000087	3	1	0	0	0	Guideline	0	0	1	1	0	1
FLI1	EWSR1	ACH-000424	3	1	0	0	0	Guideline	0	0	1	1	0	1
ROS1	SLC34A2	ACH-000562	3	1	1	1	0	FDA-Approved	0	0	1	1	0	1
FGFR2	SNX19	ACH-000793	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
ALK	TERT	ACH-000259	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	EML4	ACH-000447	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ERG	EWSR1	ACH-000210	3	1	0	0	0	Clinical trial	1	0	1	1	0	1
ERG	TMPRSS2	ACH-000115	3	1	0	0	0	Clinical trial	1	0	1	1	0	1
TACC3	FGFR3	ACH-000242	3	1	0	0	0	Clinical evidence	0	0	0	1	0	1
PALB2	MOSMO	ACH-000558	1	1	0	0	0		0	0	1	1	0	0
NF1	MACO1	ACH-001016	1	1	0	0	0		1	0	1	1	0	0
MYC	PVT1	ACH-000603	1	1	0	0	0		1	0	1	1	1	1
RAD51C	PIP4K2B	ACH-000927	1	1	0	0	0		1	0	0	1	1	1
MDM2	LRIG3	ACH-000212	1	1	0	0	0		0	0	1	1	1	1
ERRFI1	SSR2	ACH-000902	1	1	0	0	0		1	0	0	1	0	1
MC1R	AFG3L1P	ACH-000857	1	1	0	0	0		0	0	0	1	0	1
MYC	PVT1	ACH-000187	1	1	0	0	0		1	0	1	1	1	1
KRAS	UBE2L3	ACH-000979	1	1	0	0	0		1	1	1	1	1	1
ERBB2	MMP16	ACH-000277	1	1	0	0	0		1	0	1	1	1	1
ERBB3	ZC3H7B	ACH-000624	1	1	0	0	0		1	0	1	1	1	1
KEAP1	DNMT1	ACH-000691	1	1	0	0	0		1	1	1	1	0	1
BRIP1	POLDIP2	ACH-000755	1	1	0	0	0		0	0	1	1	0	1
SMARCA4	LDLR	ACH-000986	1	1	0	0	0		1	0	1	1	0	1
CDKN2A	CDKN2B-AS1	ACH-000217	1	1	0	0	0		1	0	1	1	1	1
ATM	UVRAG	ACH-000809	1	1	0	0	0		1	0	1	1	1	1
CDK12	PRIM2	ACH-000809	1	1	0	0	0		1	0	1	1	0	0
JAK2	CDC37L1	ACH-000865	1	1	0	0	0		0	0	1	1	1	1
MAPK1	YDJC	ACH-000438	1	1	0	0	0		1	1	1	1	1	1
TSC2	MIR940	ACH-000449	1	1	0	0	0		0	0	1	1	1	1
MET	CAPZA2	ACH-000356	1	1	0	0	0		1	0	1	1	1	1
CHEK2	PLA2G6	ACH-000893	1	1	0	0	0		1	0	1	1	1	1
AKT3	MYCL	ACH-000431	1	1	0	0	0		1	0	1	1	1	1
SMARCA4	FARSA	ACH-000929	1	1	0	0	0		1	0	1	1	0	1
